subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
1936,17092,6259277343.750000,-2.741094685682e+02,3.837532559955e+02,-3.413632199227e+02,3.426272019315e+02,-2.565458535725e+02,3.867216637692e+02,1.000000000000e+00,2.553503589187
1937,17093,6259643554.687500,-2.741094685682e+02,1.644656811409e+02,-3.046471082880e+02,1.202631385568e+02,-2.610494021301e+02,1.669606448048e+02,1.000000000000e+00,2.528394199279
1938,17094,6260009765.625000,1.644656811409e+02,5.482189371364e+01,1.568019396032e+02,8.309903403514e+01,1.756937438347e+02,4.744559205165e+01,1.000000000000e+00,2.503295828517
1939,17095,6260375976.562500,-1.644656811409e+02,5.482189371364e+01,-1.753310481349e+02,2.736517873352e+01,-1.532846711089e+02,5.503425511913e+01,1.000000000000e+00,2.478208538076
1940,17096,6260742187.500000,-2.741094685682e+02,-1.644656811409e+02,-2.484126839215e+02,-2.129510348277e+02,-2.677213446220e+02,-1.617381874032e+02,1.000000000000e+00,2.453132387521
1941,17097,6261108398.437500,-5.482189371364e+01,-2.741094685682e+02,-8.071444565483e+00,-2.860162875958e+02,-5.071015347851e+01,-2.760730043525e+02,1.000000000000e+00,2.428067434805
1942,17098,6261474609.375000,-5.482189371364e+01,-2.741094685682e+02,-8.102136174441e+00,-2.860619600555e+02,-5.094440092500e+01,-2.758188467782e+02,1.000000000000e+00,2.403013736272
1943,17099,6261840820.312500,2.741094685682e+02,-5.482189371364e+01,2.861075884341e+02,-8.132836090266e+00,2.834717634252e+02,-6.432051402057e+01,1.000000000000e+00,2.377971346658
1944,17100,6262207031.250000,2.741094685682e+02,2.741094685682e+02,2.293278863927e+02,3.242287840870e+02,2.920308662917e+02,2.651395678477e+02,1.000000000000e+00,2.352940319097
1945,17101,6262573242.187500,2.741094685682e+02,2.741094685682e+02,2.290268595104e+02,3.248442742900e+02,2.922640771549e+02,2.657033945431e+02,1.000000000000e+00,2.327920705121
1946,17102,6262939453.125000,-5.482189371364e+01,-3.837532559955e+02,1.229615780362e+01,-3.976022675686e+02,-5.356625481705e+01,-3.854616416265e+02,1.000000000000e+00,2.302912554660
1947,17103,6263305664.062500,-1.644656811409e+02,5.482189371364e+01,-1.758848079506e+02,2.614903628140e+01,-1.526151098407e+02,5.727535996067e+01,1.000000000000e+00,2.277915916053
1948,17104,6263671875.000000,3.837532559955e+02,2.741094685682e+02,3.382513485887e+02,3.453101266635e+02,4.020616830605e+02,2.639422828646e+02,1.000000000000e+00,2.252930836045
1949,17105,6264038085.937500,3.837532559955e+02,5.482189371364e+01,3.770910658441e+02,1.243138734922e+02,3.966005351709e+02,4.446877807181e+01,1.000000000000e+00,2.227957359793
1950,17106,6264404296.875000,-5.482189371364e+01,-5.482189371364e+01,-4.545024298763e+01,-6.505037491876e+01,-4.508987560605e+01,-5.435617136972e+01,1.000000000000e+00,2.202995530872
1951,17107,6264770507.812500,-1.644656811409e+02,-2.741094685682e+02,-1.169741813844e+02,-3.053218595744e+02,-1.608534588070e+02,-2.700718956970e+02,1.000000000000e+00,2.178045391278
1952,17108,6265136718.750000,3.837532559955e+02,-3.837532559955e+02,4.545977990702e+02,-3.183683383362e+02,3.836114052212e+02,-3.951795200059e+02,1.000000000000e+00,2.153106981432
1953,17109,6265502929.687500,-3.837532559955e+02,-3.837532559955e+02,-3.179361419802e+02,-4.553441809522e+02,-3.834782074450e+02,-3.728708584461e+02,1.000000000000e+00,2.128180340187
1954,17110,6265869140.625000,-3.837532559955e+02,2.741094685682e+02,-4.362918995478e+02,2.069891839460e+02,-3.647786813387e+02,2.853214219512e+02,1.000000000000e+00,2.103265504832
1955,17111,6266235351.562500,5.482189371364e+01,-3.837532559955e+02,1.249782781137e+02,-3.768553906372e+02,5.542892598464e+01,-3.853465921162e+02,1.000000000000e+00,2.078362511100
1956,17112,6266601562.500000,-3.837532559955e+02,3.837532559955e+02,-4.568102316798e+02,3.167058767487e+02,-3.616216387994e+02,3.956947017583e+02,1.000000000000e+00,2.053471393170
1957,17113,6266967773.437500,3.837532559955e+02,5.482189371364e+01,3.766454986865e+02,1.256282799123e+02,3.972551765930e+02,4.471099919622e+01,1.000000000000e+00,2.028592183676
1958,17114,6267333984.375000,5.482189371364e+01,2.741094685682e+02,4.538971055260e+00,2.861347598744e+02,7.416305660282e+01,2.738221802370e+02,1.000000000000e+00,2.003724913713
