tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
28,4053955078.125000,4.419002711968e-02,4.392717499293e-02,4.408611775126e-02,4.409734650682e-02,-0.051819878,-0.020448236,-0.018236217,2.227028655348,8.785599018354,-1.529079546987,-1.529079546987,0.275385055827,-10.314678565342,-10.314678565342,-3.756108202335,-3.756108202335
29,4071899414.062500,4.419002711967e-02,4.398244618683e-02,4.426312972815e-02,4.427459471452e-02,-0.040897762,0.014357008,0.016606526,-0.854063318878,5.794218415707,1.466762739283,1.466762739283,0.365096427406,-10.610640983604,-10.610640983604,-3.962359249019,-3.962359249019
30,4089843750.000000,4.419002711967e-02,4.407131000104e-02,4.445603467118e-02,4.446731578449e-02,-0.023366163,0.052129088,0.054332930,-3.901728324670,2.853069008617,4.512836221110,4.512836221110,0.471612026108,-10.906603401867,-10.906603401867,-4.151806068580,-4.151806068580
31,4107971191.406250,4.419002711967e-02,4.409799023419e-02,4.457703910126e-02,4.458770505748e-02,-0.018109423,0.075739006,0.077817031,-6.492236866188,0.374875253712,1.735660023265,1.735660023265,0.583926812721,-11.205585844806,-11.205585844806,-4.338473724906,-4.338473724906
32,4125915527.343750,4.419002711965e-02,4.406545200849e-02,4.463300042965e-02,4.464268305174e-02,-0.024520775,0.086636299,0.088520400,-8.338363527675,-1.365845154376,-0.301022803085,-0.301022803085,0.689333066120,-11.501548263068,-11.501548263068,-4.529029889768,-4.529029889768
33,4143859863.281250,4.419002711967e-02,4.372059237238e-02,4.436993855252e-02,4.437829176280e-02,-0.092764610,0.035291184,0.036926260,-9.726864104487,-2.659808341597,-1.890948408569,-1.890948408569,0.783870455710,-11.797510681331,-11.797510681331,-4.730454918441,-4.730454918441
34,4161987304.687500,4.419002711967e-02,4.323334415758e-02,4.395682153264e-02,4.396363148924e-02,-0.190108760,-0.045959731,-0.044614184,-12.483886309142,-5.343947008085,-4.874069517996,-4.874069517996,0.856753993877,-12.096493124270,-12.096493124270,-4.956553823214,-4.956553823214
35,4179931640.625000,4.419002711968e-02,4.289817682565e-02,4.368329771454e-02,4.368853750142e-02,-0.257708661,-0.100177033,-0.099135228,-13.096293055566,-5.897642705933,-5.723727634107,-5.723727634107,0.915465042453,-12.392455542533,-12.392455542533,-5.193805192900,-5.193805192900
36,4197875976.562500,4.419002711967e-02,4.292095778444e-02,4.374908726732e-02,4.375282763397e-02,-0.253097267,-0.087105426,-0.086362850,-13.203573087710,-5.953085318389,-6.075132664825,-6.075132664825,0.967302462142,-12.688417960795,-12.688417960795,-5.437930191474,-5.437930191474
37,4215820312.500000,4.419002711968e-02,4.326288133750e-02,4.410143483925e-02,4.410381664054e-02,-0.184176554,-0.017430973,-0.016961883,-16.132889267093,-8.828164830849,-2.962989288368,-2.962989288368,1.021539129064,-12.984380379058,-12.984380379058,-5.679655942814,-5.679655942814
