freq_hz,digital_w_rad_per_sample,original_phase_rad,allpass_phase_rad,compensated_phase_rad,original_group_delay_ns,allpass_group_delay_ns,compensated_group_delay_ns,target_delay_ns
5650000000.000000,1.479166541065,-78.686098271563,-11.089133458248,-89.775231729811,4.668250249,9.612405109,14.280655358,13.883519069
5651000000.000000,1.479428340453,-78.716935648923,-11.149589278865,-89.866524927788,4.590365674,9.631550170,14.221915844,13.883519069
5652000000.000000,1.479690139841,-78.743782507882,-11.210167087275,-89.953949595157,4.854714569,9.651232535,14.505947104,13.883519069
5653000000.000000,1.479951939229,-78.777941791422,-11.270870243785,-90.048812035207,4.809039152,9.671446990,14.480486142,13.883519069
5654000000.000000,1.480213738616,-78.804214676168,-11.331702074526,-90.135916750694,4.478086109,9.692187854,14.170273963,13.883519069
5655000000.000000,1.480475538004,-78.834215081105,-11.392665868428,-90.226880949533,4.818784502,9.713448954,14.532233456,13.883519069
5656000000.000000,1.480737337392,-78.864769308126,-11.453764874027,-90.318534182153,4.513812730,9.735223591,14.249036321,13.883519069
5657000000.000000,1.480999136780,-78.890937324757,-11.515002296081,-90.405939620838,4.099022204,9.757504512,13.856526716,13.883519069
5658000000.000000,1.481260936168,-78.916279140300,-11.576381291994,-90.492660432294,4.400440670,9.780283882,14.180724552,13.883519069
5659000000.000000,1.481522735555,-78.946234893081,-11.637904968051,-90.584139861132,4.940096706,9.803553249,14.743649955,13.883519069
5660000000.000000,1.481784534943,-78.978358226374,-11.699576375455,-90.677934601829,4.383989252,9.827303515,14.211292767,13.883519069
5661000000.000000,1.482046334331,-79.001325726795,-11.761398506157,-90.762724232952,4.291650926,9.851524903,14.143175829,13.883519069
5662000000.000000,1.482308133719,-79.032288702457,-11.823374288496,-90.855662990953,4.685744294,9.876206924,14.561951218,13.883519069
5663000000.000000,1.482569933107,-79.060208526203,-11.885506582625,-90.945715108828,4.248348672,9.901338346,14.149687018,13.883519069
5664000000.000000,1.482831732494,-79.085675026366,-11.947798175734,-91.033473202100,3.797251065,9.926907162,13.724158227,13.883519069
5665000000.000000,1.483093531882,-79.107926190402,-12.010251777076,-91.118177967478,4.358735071,9.952900554,14.311635625,13.883519069
5666000000.000000,1.483355331270,-79.140448506674,-12.072870012781,-91.213318519455,4.542687407,9.979304864,14.521992271,13.883519069
5667000000.000000,1.483617130658,-79.165011283938,-12.135655420475,-91.300666704413,3.953817478,10.006105564,13.959923042,13.883519069
5668000000.000000,1.483878930046,-79.190133642440,-12.198610443699,-91.388744086139,3.889021624,10.033287218,13.922308842,13.883519069
5669000000.000000,1.484140729433,-79.213882170997,-12.261737426134,-91.475619597131,4.315036793,10.060833460,14.375870253,13.883519069
5670000000.000000,1.484402528821,-79.244357993994,-12.325038605641,-91.569396599635,3.951070399,10.088726959,14.039797358,13.883519069
5671000000.000000,1.484664328209,-79.263532785959,-12.388516108124,-91.652048894083,3.744901641,10.116949394,13.861851035,13.883519069
5672000000.000000,1.484926127597,-79.291417815930,-12.452171941216,-91.743589757146,4.282857933,10.145481428,14.428339361,13.883519069
5673000000.000000,1.485187926985,-79.317352766033,-12.516007987809,-91.833360753842,3.693477810,10.174302680,13.867780490,13.883519069
5674000000.000000,1.485449726372,-79.337831426946,-12.580025999438,-91.917857426384,3.669159176,10.203391707,13.872550883,13.883519069
5675000000.000000,1.485711525760,-79.363460780079,-12.644227589524,-92.007688369603,4.238512263,10.232725981,14.471238244,13.883519069
5676000000.000000,1.485973325148,-79.391094142898,-12.708614226511,-92.099708369409,4.252075858,10.262281873,14.514357731,13.883519069
5677000000.000000,1.486235124536,-79.416893941187,-12.773187226894,-92.190081168081,3.555029191,10.292034640,13.847063831,13.883519069
5678000000.000000,1.486496923924,-79.435767957263,-12.837947748170,-92.273715705433,3.332462633,10.321958409,13.654421042,13.883519069
5679000000.000000,1.486758723311,-79.458770901695,-12.902896781733,-92.361667683428,3.431952636,10.352026178,13.783978814,13.883519069
