subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
1422,16578,6071044921.875000,1.344342184910e+02,-3.136798431456e+02,1.209489462160e+02,-3.286045900894e+02,1.226131605624e+02,-3.265567421526e+02,1.000000000000e+00,-0.680571570856
1423,16579,6071411132.812500,4.481140616365e+01,-3.136798431456e+02,2.948376312968e+01,-3.239128443898e+02,3.292459378099e+01,-3.195348662404e+02,1.000000000000e+00,-0.703723429577
1424,16580,6071777343.750000,4.481140616365e+01,-4.481140616365e+01,4.365822195037e+01,-4.826124492720e+01,5.340945025182e+01,-4.867232848607e+01,1.000000000000e+00,-0.726893224636
1425,16581,6072143554.687500,-1.344342184910e+02,4.481140616365e+01,-1.356737908683e+02,5.276418908264e+01,-1.205581459517e+02,5.498917919391e+01,1.000000000000e+00,-0.750081104135
1426,16582,6072509765.625000,-2.240570308183e+02,4.481140616365e+01,-2.277236902241e+02,5.717634142027e+01,-2.109858399848e+02,6.157324092325e+01,1.000000000000e+00,-0.773287214877
1427,16583,6072875976.562500,2.240570308183e+02,1.344342184910e+02,2.366635980672e+02,1.269579102239e+02,2.470842894426e+02,1.198851330607e+02,1.000000000000e+00,-0.796511702333
1428,16584,6073242187.500000,-4.481140616365e+01,-1.344342184910e+02,-5.288092264994e+01,-1.357195989237e+02,-4.344911695854e+01,-1.316794794116e+02,1.000000000000e+00,-0.819754710609
1429,16585,6073608398.437500,3.136798431456e+02,1.344342184910e+02,3.292399761613e+02,1.209945408452e+02,3.378507720044e+02,1.125129839563e+02,1.000000000000e+00,-0.843016382415
1430,16586,6073974609.375000,4.481140616365e+01,2.240570308183e+02,5.879089578670e+01,2.273587477589e+02,7.421023704605e+01,2.232128335643e+02,1.000000000000e+00,-0.866296859031
1431,16587,6074340820.312500,-1.344342184910e+02,-1.344342184910e+02,-1.454581016837e+02,-1.303198975603e+02,-1.343451248001e+02,-1.238474946062e+02,1.000000000000e+00,-0.889596280275
1432,16588,6074707031.250000,-3.136798431456e+02,3.136798431456e+02,-3.042848026014e+02,3.388909354315e+02,-2.805445040447e+02,3.409828429161e+02,1.000000000000e+00,-0.912914784468
1433,16589,6075073242.187500,-1.344342184910e+02,3.136798431456e+02,-1.207579553641e+02,3.287826516504e+02,-1.004312969362e+02,3.273177283630e+02,1.000000000000e+00,-0.936252508402
1434,16590,6075439453.125000,4.481140616365e+01,-1.344342184910e+02,3.863548413425e+01,-1.402638138103e+02,4.638075199392e+01,-1.369796967339e+02,1.000000000000e+00,-0.959609587303
1435,16591,6075805664.062500,1.344342184910e+02,4.481140616365e+01,1.403155482391e+02,3.863947978370e+01,1.500270157141e+02,3.699300070317e+01,1.000000000000e+00,-0.982986154794
1436,16592,6076171875.000000,-2.240570308183e+02,-2.240570308183e+02,-2.422807377624e+02,-2.173268599663e+02,-2.314537300100e+02,-2.065725142303e+02,1.000000000000e+00,-1.006382342864
1437,16593,6076538085.937500,2.240570308183e+02,-1.344342184910e+02,2.219071934492e+02,-1.508888036672e+02,2.262405119531e+02,-1.506099700283e+02,1.000000000000e+00,-1.029798281830
1438,16594,6076904296.875000,-2.240570308183e+02,-1.344342184910e+02,-2.378366282202e+02,-1.241819971134e+02,-2.252593203867e+02,-1.147684563103e+02,1.000000000000e+00,-1.053234100298
1439,16595,6077270507.812500,1.344342184910e+02,-2.240570308183e+02,1.239724244069e+02,-2.379132884024e+02,1.280856798929e+02,-2.337774626804e+02,1.000000000000e+00,-1.076689925128
1440,16596,6077636718.750000,1.344342184910e+02,-3.136798431456e+02,1.183620351969e+02,-3.297633725781e+02,1.206506302756e+02,-3.237808389160e+02,1.000000000000e+00,-1.100165881396
1441,16597,6078002929.687500,-1.344342184910e+02,4.481140616365e+01,-1.349679697476e+02,5.426127095412e+01,-1.206930283302e+02,5.908860377003e+01,1.000000000000e+00,-1.123662092357
1442,16598,6078369140.625000,-3.136798431456e+02,1.344342184910e+02,-3.133327192646e+02,1.567892420466e+02,-2.940518639057e+02,1.636763139850e+02,1.000000000000e+00,-1.147178679404
1443,16599,6078735351.562500,-3.136798431456e+02,3.136798431456e+02,-3.029925579666e+02,3.400973734842e+02,-2.802476608006e+02,3.438646405762e+02,1.000000000000e+00,-1.170715762032
1444,16600,6079101562.500000,1.344342184910e+02,-2.240570308183e+02,1.248259356276e+02,-2.375166038682e+02,1.285728714101e+02,-2.325192616057e+02,1.000000000000e+00,-1.194273457795
1445,16601,6079467773.437500,2.240570308183e+02,3.136798431456e+02,2.478857400235e+02,3.086745375328e+02,2.605746745834e+02,3.021307832826e+02,1.000000000000e+00,-1.217851882270
1446,16602,6079833984.375000,-1.344342184910e+02,-2.240570308183e+02,-1.507786208269e+02,-2.220131322229e+02,-1.422727334190e+02,-2.113273402665e+02,1.000000000000e+00,-1.241451149015
1447,16603,6080200195.312500,-4.481140616365e+01,-2.240570308183e+02,-5.880799097025e+01,-2.271942508972e+02,-5.206866684203e+01,-2.181273766639e+02,1.000000000000e+00,-1.265071369526
1448,16604,6080566406.250000,-4.481140616365e+01,-4.481140616365e+01,-4.850322764954e+01,-4.339478227270e+01,-3.826632905879e+01,-3.746742556127e+01,1.000000000000e+00,-1.288712653201
1449,16605,6080932617.187500,-3.136798431456e+02,3.136798431456e+02,-3.038524395692e+02,3.393768757940e+02,-2.814690003303e+02,3.443199599429e+02,1.000000000000e+00,-1.312375107293
1450,16606,6081298828.125000,-3.136798431456e+02,-2.240570308183e+02,-3.343397742035e+02,-2.121366498965e+02,-3.230205801059e+02,-1.970540605833e+02,1.000000000000e+00,-1.336058836874
1451,16607,6081665039.062500,4.481140616365e+01,-2.240570308183e+02,3.342869712930e+01,-2.324102618738e+02,3.798074746375e+01,-2.245253376862e+02,1.000000000000e+00,-1.359763944786
1452,16608,6082031250.000000,4.481140616365e+01,-3.136798431456e+02,2.851348489915e+01,-3.244775022159e+02,3.103795594974e+01,-3.147874780161e+02,1.000000000000e+00,-1.383490531604
1453,16609,6082397460.937500,4.481140616365e+01,1.344342184910e+02,5.346423322257e+01,1.354672731810e+02,6.527886417904e+01,1.370068970145e+02,1.000000000000e+00,-1.407238695590
1454,16610,6082763671.875000,-4.481140616365e+01,-2.240570308183e+02,-5.841321065012e+01,-2.273930031945e+02,-5.267791915970e+01,-2.171628300779e+02,1.000000000000e+00,-1.431008532651
1455,16611,6083129882.812500,4.481140616365e+01,4.481140616365e+01,4.845434661685e+01,4.348490900930e+01,5.817357804539e+01,4.695231793989e+01,1.000000000000e+00,-1.454800136293
1456,16612,6083496093.750000,2.240570308183e+02,-1.344342184910e+02,2.223936300513e+02,-1.503436804911e+02,2.247522094584e+02,-1.473508007704e+02,1.000000000000e+00,-1.478613597580
