tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
26,6017944335.937500,4.449403363517e-02,4.391124965275e-02,4.446229319565e-02,4.446174158446e-02,-0.114519642,-0.006198412,-0.006306172,14.797419521693,8.971208837780,3.287857955564,3.287857955564,-5.826210683912,-5.683350882217,-5.683350882217,-11.509561566129,-11.509561566129
27,6035888671.875000,4.449403363518e-02,4.403234002748e-02,4.455036701405e-02,4.455008536655e-02,-0.090600257,0.010990148,0.010935236,13.993733404913,7.797533373850,1.928618753198,1.928618753198,-6.196200031063,-5.868914620651,-5.868914620651,-12.065114651714,-12.065114651714
28,6053833007.812500,4.449403363518e-02,4.415049714312e-02,4.462181917885e-02,4.462179399070e-02,-0.067323612,0.024909864,0.024904961,12.430396187644,5.876505243717,-0.177973115369,-0.177973115369,-6.553890943927,-6.054478359086,-6.054478359086,-12.608369303012,-12.608369303012
29,6071777343.750000,4.449403363518e-02,4.418246285318e-02,4.459280308375e-02,4.459300333651e-02,-0.061037156,0.019259880,0.019298885,14.134672739343,7.270500728635,1.030458631115,1.030458631115,-6.864172010708,-6.240042097520,-6.240042097520,-13.104214108229,-13.104214108229
30,6090087890.625000,4.449403363518e-02,4.426433205565e-02,4.460004468844e-02,4.460042580498e-02,-0.044957273,0.020670302,0.020744524,15.979792242236,8.871621581873,2.442228730848,2.442228730848,-7.108170660362,-6.429392851025,-6.429392851025,-13.537563511387,-13.537563511387
31,6108032226.562500,4.449403363518e-02,4.431669138188e-02,4.456803753945e-02,4.456853193257e-02,-0.034688993,0.014434650,0.014531002,19.076568028772,11.804804422984,5.189847833525,5.189847833525,-7.271763605788,-6.614956589459,-6.614956589459,-13.886720195247,-13.886720195247
32,6125976562.500000,4.449403363518e-02,4.437240121861e-02,4.453096313700e-02,4.453149464113e-02,-0.023776950,0.007206192,0.007309862,17.677565449003,10.271115855091,3.470595527197,3.470595527197,-7.406449593912,-6.800520327894,-6.800520327894,-14.206969921806,-14.206969921806
33,6143920898.437500,4.449403363518e-02,4.443288487585e-02,4.449348108882e-02,4.449396361570e-02,-0.011945347,-0.000107866,-0.000013669,19.332096923962,11.803804246105,4.817720179776,4.817720179776,-7.528292677858,-6.986084066329,-6.986084066329,-14.514376744186,-14.514376744186
34,6161865234.375000,4.449403363517e-02,4.443425632066e-02,4.439576287671e-02,4.439610351403e-02,-0.011677257,-0.019205113,-0.019138469,21.553583206936,13.879408594208,6.707760789445,6.707760789445,-7.674174612728,-7.171647804763,-7.171647804763,-14.845822417491,-14.845822417491
35,6179809570.312500,4.449403363518e-02,4.453132848895e-02,4.439721151064e-02,4.439731654888e-02,0.007277454,-0.018921697,-0.018901148,21.773465138374,13.905887611262,6.548676068065,6.548676068065,-7.867577527112,-7.357211543198,-7.357211543198,-15.224789070310,-15.224789070310
36,6197753906.250000,4.449403363518e-02,4.460824290522e-02,4.438704964335e-02,4.438682672691e-02,0.022266763,-0.020909997,-0.020953619,22.205355656359,14.080627090455,6.537851808823,6.537851808823,-8.124728565904,-7.542775281632,-7.542775281632,-15.667503847536,-15.667503847536
37,6215698242.187500,4.449403363518e-02,4.471023726152e-02,4.441557766997e-02,4.441494153866e-02,0.042103915,-0.015329277,-0.015453679,20.657287119212,12.198419009992,4.470079989925,4.470079989925,-8.458868109221,-7.728339020067,-7.728339020067,-16.187207129287,-16.187207129287
38,6234008789.062500,4.449403363518e-02,4.481865853442e-02,4.446835774376e-02,4.446722451297e-02,0.063141495,-0.005013758,-0.005235112,23.205153734337,14.339196805311,6.421507031739,6.421507031739,-8.865956929026,-7.917689773571,-7.917689773571,-16.783646702598,-16.783646702598
39,6251953125.000000,4.449403363517e-02,4.491140909439e-02,4.453018689032e-02,4.452851039970e-02,0.081098050,0.007054781,0.006727765,22.709748416653,13.417593509500,5.314339997494,5.314339997494,-9.292154907153,-8.103253512006,-8.103253512006,-17.395408419159,-17.395408419159
40,6269897460.937500,4.449403363518e-02,4.492255060815e-02,4.453780409102e-02,4.453555450770e-02,0.083252557,0.008540437,0.008101705,22.325215790990,12.630355875717,4.341538625277,4.341538625277,-9.694859915272,-8.288817250440,-8.288817250440,-17.983677165713,-17.983677165713
41,6287841796.875000,4.449403363518e-02,4.492953766699e-02,4.456982569675e-02,4.456699720046e-02,0.084603417,0.014783138,0.014231895,20.389913616666,10.343534356285,1.869153367410,1.869153367410,-10.046379260381,-8.474380988875,-8.474380988875,-18.520760249256,-18.520760249256
42,6305786132.812500,4.449403363518e-02,4.481043579937e-02,4.450502570307e-02,4.450165080172e-02,0.061547777,0.002145548,0.001486856,22.785951315836,12.475658060832,3.815713333523,3.815713333523,-10.310293255004,-8.659944727310,-8.659944727310,-18.970237982314,-18.970237982314
43,6323730468.750000,4.449403363517e-02,4.474617501479e-02,4.452043578717e-02,4.451656685765e-02,0.049082763,0.005152560,0.004397703,24.831362469119,14.325356056484,5.479847590740,5.479847590740,-10.506006412635,-8.845508465744,-8.845508465744,-19.351514878379,-19.351514878379
44,6341674804.687500,4.449403363518e-02,4.461889752954e-02,4.449396299427e-02,4.448969406280e-02,0.024341130,-0.000013790,-0.000847190,23.548592097701,12.911330568741,3.880258364563,3.880258364563,-10.637261528960,-9.031072204179,-9.031072204179,-19.668333733138,-19.668333733138
45,6359619140.625000,4.449403363518e-02,4.448770725416e-02,4.447684514373e-02,4.447229763919e-02,-0.001235090,-0.003356095,-0.004244223,22.468765371567,11.718711377920,2.502075435307,2.502075435307,-10.750053993647,-9.216635942613,-9.216635942613,-19.966689936260,-19.966689936260
46,6377929687.500000,4.449403363518e-02,4.436203289781e-02,4.447098083069e-02,4.446630460788e-02,-0.025806785,-0.004501413,-0.005414801,20.846386628291,9.951656255273,0.545669559156,0.545669559156,-10.894730373017,-9.405986696118,-9.405986696118,-20.300717069135,-20.300717069135
47,6395874023.437500,4.449403363518e-02,4.423061136058e-02,4.444793608764e-02,4.444331635002e-02,-0.051576730,-0.009003584,-0.009906407,17.817161808037,13.004250168220,3.412699733668,3.412699733668,-11.096096946996,-9.591550434552,-9.591550434552,-20.687647381549,-20.687647381549
48,6413818359.375000,4.449403363518e-02,4.415976131357e-02,4.446276987369e-02,4.445840521410e-02,-0.065501229,-0.006105291,-0.006957978,20.407653926208,15.317986616672,5.540872443685,5.540872443685,-11.372852616715,-9.777114172987,-9.777114172987,-21.149966789702,-21.149966789702
49,6431762695.312500,4.449403363518e-02,4.412193206897e-02,4.447242995522e-02,4.446854325068e-02,-0.072945143,-0.004218380,-0.004977524,21.917789266074,16.495386604230,6.532708692809,6.532708692809,-11.705587969023,-9.962677911421,-9.962677911421,-21.668265880445,-21.668265880445
50,6449707031.250000,4.449403363518e-02,4.419569592497e-02,4.453960932980e-02,4.453643488678e-02,-0.058436038,0.008892492,0.008273406,23.292433593604,17.491610167015,7.343368517159,7.343368517159,-12.084008733768,-10.148241649856,-10.148241649856,-22.232250383624,-22.232250383624
