freq_hz,h1_phase_rad,h2_fixed_phase_rad,pre_l1_09_phase_rad,phase_unwrapped_rad,omega_rad,group_delay_s,group_delay_ns
5577000000.000000,-110.234654759043,-1.123512072740,-111.358166831783,-111.358166831783,35041324458.140548706055,4.534497409531757e-09,4.534497410
5578000000.000000,-110.248260111434,-1.133853148558,-111.382113259992,-111.382113259992,35047607643.447731018066,4.419619196850910e-09,4.419619197
5579000000.000000,-110.269511180209,-1.144194224376,-111.413705404585,-111.413705404585,35053890828.754913330078,5.027305196363629e-09,5.027305196
5580000000.000000,-110.290752940087,-1.154535300194,-111.445288240281,-111.445288240281,35060174014.062088012695,4.614300203812770e-09,4.614300204
5581000000.000000,-110.306814035060,-1.164876376012,-111.471690411072,-111.471690411072,35066457199.369270324707,4.601395111241690e-09,4.601395111
5582000000.000000,-110.327893624762,-1.175217451830,-111.503111076592,-111.503111076592,35072740384.676452636719,4.847338243580337e-09,4.847338244
5583000000.000000,-110.347045332286,-1.185558527648,-111.532603859934,-111.532603859934,35079023569.983627319336,4.421983696431471e-09,4.421983696
5584000000.000000,-110.362779759105,-1.195899603467,-111.558679362572,-111.558679362572,35085306755.290809631348,4.872988954981793e-09,4.872988955
5585000000.000000,-110.387598965857,-1.206240679285,-111.593839645142,-111.593839645142,35091589940.597991943359,4.914611105328871e-09,4.914611105
5586000000.000000,-110.403856432044,-1.216581755103,-111.620438187147,-111.620438187147,35097873125.905166625977,4.386241614506175e-09,4.386241615
5587000000.000000,-110.422035951953,-1.226922830921,-111.648958782874,-111.648958782874,35104156311.212348937988,4.851016716340766e-09,4.851016716
5588000000.000000,-110.444133954322,-1.237263906739,-111.681397861061,-111.681397861061,35110439496.519531250000,4.816280289540549e-09,4.816280290
5589000000.000000,-110.461876963418,-1.247604982557,-111.709481945975,-111.709481945975,35116722681.826705932617,4.759739669993007e-09,4.759739670
5590000000.000000,-110.483264455407,-1.257946058375,-111.741210513782,-111.741210513782,35123005867.133888244629,4.801771736547778e-09,4.801771737
5591000000.000000,-110.501535655029,-1.268287134193,-111.769822789222,-111.769822789222,35129289052.441062927246,4.820610373197160e-09,4.820610373
5592000000.000000,-110.523159880308,-1.278628210011,-111.801788090319,-111.801788090319,35135572237.748245239258,4.954171862383557e-09,4.954171862
5593000000.000000,-110.543109463103,-1.288969285829,-111.832078748932,-111.832078748932,35141855423.055427551270,4.824767791482932e-09,4.824767791
5594000000.000000,-110.563107548868,-1.299310361647,-111.862417910515,-111.862417910515,35148138608.362602233887,4.971632150942504e-09,4.971632151
