freq_hz,stage,equalized_real,equalized_imag,residual_real,residual_imag,residual_abs_percent
5712000000.000000,after_h1,1.039063133714e+00,-7.322233111486e-02,3.906313371381e-02,-7.322233111486e-02,8.299059097
5713000000.000000,after_h1,1.037627589436e+00,-7.591273731977e-02,3.762758943572e-02,-7.591273731977e-02,8.472649629
5714000000.000000,after_h1,1.038716566757e+00,-7.573625321775e-02,3.871656675680e-02,-7.573625321775e-02,8.505852452
5715000000.000000,after_h1,1.037666006741e+00,-8.049723785024e-02,3.766600674138e-02,-8.049723785024e-02,8.887369333
5716000000.000000,after_h1,1.037233853049e+00,-8.284389024946e-02,3.723385304947e-02,-8.284389024946e-02,9.082659283
5717000000.000000,after_h1,1.037789236030e+00,-8.628061280283e-02,3.778923602989e-02,-8.628061280283e-02,9.419326146
5718000000.000000,after_h1,1.038760062047e+00,-8.783790451462e-02,3.876006204673e-02,-8.783790451462e-02,9.600958223
5719000000.000000,after_h1,1.040569547651e+00,-9.077718078796e-02,4.056954765149e-02,-9.077718078796e-02,9.943030096
5720000000.000000,after_h1,1.036466799983e+00,-9.062183537367e-02,3.646679998320e-02,-9.062183537367e-02,9.768390117
5721000000.000000,after_h1,1.038080898729e+00,-9.259899796259e-02,3.808089872942e-02,-9.259899796259e-02,10.012357001
5722000000.000000,after_h1,1.035103131498e+00,-9.564400947077e-02,3.510313149782e-02,-9.564400947077e-02,10.188231637
5723000000.000000,after_h1,1.035307447870e+00,-1.018201357496e-01,3.530744787041e-02,-1.018201357496e-01,10.776806540
5724000000.000000,after_h1,1.038711284606e+00,-9.960266952879e-02,3.871128460605e-02,-9.960266952879e-02,10.686091584
5725000000.000000,after_h1,1.037130131640e+00,-1.034855971436e-01,3.713013164042e-02,-1.034855971436e-01,10.994505670
5726000000.000000,after_h1,1.036747494313e+00,-1.009697927191e-01,3.674749431302e-02,-1.009697927191e-01,10.744895244
5727000000.000000,after_h1,1.037461804640e+00,-1.004815978505e-01,3.746180463983e-02,-1.004815978505e-01,10.723776533
5728000000.000000,after_h1,1.035715286726e+00,-1.029778180547e-01,3.571528672644e-02,-1.029778180547e-01,10.899547109
5729000000.000000,after_h1,1.037633897213e+00,-1.047547096019e-01,3.763389721257e-02,-1.047547096019e-01,11.130974532
5730000000.000000,after_h1,1.035418111793e+00,-1.081702138266e-01,3.541811179308e-02,-1.081702138266e-01,11.382107802
5731000000.000000,after_h1,1.034920589566e+00,-1.082631599672e-01,3.492058956648e-02,-1.082631599672e-01,11.375570044
5732000000.000000,after_h1,1.037353079246e+00,-1.056164932858e-01,3.735307924568e-02,-1.056164932858e-01,11.202721180
5733000000.000000,after_h1,1.035581370286e+00,-1.094266929222e-01,3.558137028628e-02,-1.094266929222e-01,11.506622022
5734000000.000000,after_h1,1.036390489088e+00,-1.086685686809e-01,3.639048908791e-02,-1.086685686809e-01,11.459984954
5735000000.000000,after_h1,1.036129086159e+00,-1.058506036246e-01,3.612908615868e-02,-1.058506036246e-01,11.184659653
5736000000.000000,after_h1,1.036982025267e+00,-1.088902221694e-01,3.698202526656e-02,-1.088902221694e-01,11.499891598
5737000000.000000,after_h1,1.035155975863e+00,-1.102814341685e-01,3.515597586261e-02,-1.102814341685e-01,11.574945944
5738000000.000000,after_h1,1.035621086224e+00,-1.091267872934e-01,3.562108622425e-02,-1.091267872934e-01,11.479336866
5739000000.000000,after_h1,1.036592754858e+00,-1.106442809813e-01,3.659275485798e-02,-1.106442809813e-01,11.653834829
