freq_hz,float_abs,fixed_abs,fixed_abs_error_db,float_phase_rad,fixed_phase_rad,phase_error_rad,original_group_delay_ns,float_allpass_group_delay_ns,fixed_allpass_group_delay_ns,float_compensated_group_delay_ns,fixed_compensated_group_delay_ns
5562000000.000000,1.000000000000e+00,1.000000000000e+00,-3.375146132937e-14,-5.829122926563,-5.829722378300,-5.994517369041e-04,2.799043950,10.105823174,10.104553312,12.904867124,12.903597262
5563000000.000000,1.000000000000e+00,1.000000000000e+00,-7.618186985771e-14,-5.892539573718,-5.893131106842,-5.915331240436e-04,3.864773596,10.080376041,10.079125456,13.945149637,13.943899052
5564000000.000000,1.000000000000e+00,1.000000000000e+00,-8.486081705669e-14,-5.955796667823,-5.956380404248,-5.837364254564e-04,3.471820704,10.055049916,10.053818838,13.526870620,13.525639542
5565000000.000000,1.000000000000e+00,1.000000000000e+00,6.171695785941e-14,-6.018895057503,-6.019471120449,-5.760629462692e-04,2.385057576,10.029872338,10.028660953,12.414929914,12.413718529
5566000000.000000,1.000000000000e+00,1.000000000000e+00,2.892982399660e-14,-6.081835760835,-6.082404274548,-5.685137134481e-04,3.880967389,10.004869709,10.003678159,13.885837098,13.884645548
5567000000.000000,1.000000000000e+00,1.000000000000e+00,7.714619732426e-15,-6.144619958210,-6.145181047697,-5.610894871761e-04,3.869698606,9.980067297,9.978895683,13.849765903,13.848594289
5568000000.000000,1.000000000000e+00,1.000000000000e+00,-6.171695785941e-14,-6.207248985251,-6.207802776023,-5.537907723490e-04,3.206413736,9.955489253,9.954337635,13.161902989,13.160751371
5569000000.000000,1.000000000000e+00,1.000000000000e+00,6.557426772562e-14,-6.269724325806,-6.270270943636,-5.466178301647e-04,3.504925689,9.931158616,9.930027018,13.436084305,13.434952707
5570000000.000000,1.000000000000e+00,1.000000000000e+00,-6.557426772562e-14,-6.332047605048,-6.332587175738,-5.395706897131e-04,3.417625224,9.907097339,9.905985748,13.324722563,13.323610972
5571000000.000000,1.000000000000e+00,1.000000000000e+00,1.272912255850e-13,-6.394220582683,-6.394753231843,-5.326491594939e-04,3.882759494,9.883326305,9.882234673,13.766085799,13.764994167
5572000000.000000,1.000000000000e+00,1.000000000000e+00,6.171695785941e-14,-6.456245146295,-6.456770999134,-5.258528388579e-04,4.159468146,9.859865347,9.858793595,14.019333493,14.018261741
5573000000.000000,1.000000000000e+00,1.000000000000e+00,3.278713386281e-14,-6.518123304839,-6.518642485968,-5.191811292793e-04,3.863887650,9.836733277,9.835681295,13.700620927,13.699568945
5574000000.000000,1.000000000000e+00,1.000000000000e+00,-4.532339092800e-14,-6.579857182291,-6.580369815536,-5.126332454273e-04,3.801046102,9.813947910,9.812915560,13.614994012,13.613961662
5575000000.000000,1.000000000000e+00,1.000000000000e+00,4.628771839456e-14,-6.641449011472,-6.641955219698,-5.062082260316e-04,3.778962540,9.791526092,9.790513206,13.570488632,13.569475746
