subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
4449,23837,4364685058.593750,-1.060121250507e+02,3.533737501691e+01,-1.132752544622e+02,1.388510210470e+01,-1.118862928234e+02,1.367723360713e+01,-1.118308499017e+02,1.366604602973e+01
4450,23838,4364868164.062500,-1.766868750846e+02,3.533737501691e+01,-1.840636284980e+02,-5.067331314876e-01,-1.817954269723e+02,-5.606994741432e-01,-1.817044233421e+02,-5.674790096681e-01
4451,23839,4365051269.531250,1.766868750846e+02,-3.533737501691e+01,1.840797208203e+02,5.607034138520e-01,1.818076539277e+02,6.139976728962e-01,1.817166092155e+02,6.207508971312e-01
4452,23840,4365234375.000000,-1.060121250507e+02,-1.060121250507e+02,-8.453080545011e+01,-1.276645748623e+02,-8.344412668082e+01,-1.261141121867e+02,-8.339743852948e+01,-1.260541924122e+02
4453,23841,4365417480.468750,-1.766868750846e+02,1.766868750846e+02,-2.127175831907e+02,1.408165444750e+02,-2.101300541513e+02,1.390035595663e+02,-2.100301795034e+02,1.389257597156e+02
4454,23842,4365600585.937500,2.473616251184e+02,-3.533737501691e+01,2.545777463271e+02,1.499777731426e+01,2.514161525112e+02,1.489507947228e+01,2.512895757875e+02,1.489737864507e+01
4455,23843,4365783691.406250,1.060121250507e+02,1.766868750846e+02,7.002342968556e+01,1.982193698066e+02,6.908901291858e+01,1.957806968285e+02,6.904677439185e+01,1.956852324189e+02
4456,23844,4365966796.875000,1.766868750846e+02,-1.766868750846e+02,2.125473894956e+02,-1.406122271263e+02,2.099499460550e+02,-1.387939244617e+02,2.098500531097e+02,-1.387161702713e+02
4457,23845,4366149902.343750,1.766868750846e+02,1.766868750846e+02,1.407754809311e+02,2.124471851103e+02,1.389526196448e+02,2.098471736277e+02,1.388747692166e+02,2.097473071963e+02
4458,23846,4366333007.812500,-1.766868750846e+02,3.533737501691e+01,-1.837982562487e+02,-3.409231308273e-01,-1.815056199285e+02,-3.967850967450e-01,-1.814145323639e+02,-4.036348868665e-01
4459,23847,4366516113.281250,-1.766868750846e+02,-1.060121250507e+02,-1.554087749226e+02,-1.415406871843e+02,-1.534213170638e+02,-1.398235721307e+02,-1.533388851919e+02,-1.397593532713e+02
4460,23848,4366699218.750000,3.533737501691e+01,1.060121250507e+02,1.414410512337e+01,1.131302838035e+02,1.393018952235e+01,1.117198658697e+02,1.391885744563e+01,1.116643201637e+02
4461,23849,4366882324.218750,-2.473616251184e+02,-3.533737501691e+01,-2.405096075441e+02,-8.462503303824e+01,-2.374694997227e+02,-8.364374603373e+01,-2.373470044453e+02,-8.361096602656e+01
4462,23850,4367065429.687500,-1.766868750846e+02,2.473616251184e+02,-2.260003977760e+02,2.124794430354e+02,-2.232353822570e+02,2.097406056462e+02,-2.231314013264e+02,2.096265879753e+02
4463,23851,4367248535.156250,-2.473616251184e+02,2.473616251184e+02,-2.968277367987e+02,1.983175905389e+02,-2.931648530738e+02,1.957299248757e+02,-2.930251698631e+02,1.956202059527e+02
4464,23852,4367431640.625000,-1.766868750846e+02,-1.766868750846e+02,-1.415707807314e+02,-2.120825862464e+02,-1.397211857044e+02,-2.094619693856e+02,-1.396428404328e+02,-2.093621397006e+02
4465,23853,4367614746.093750,-3.533737501691e+01,1.060121250507e+02,-5.656090830453e+01,9.902351013294e+01,-5.588113878455e+01,9.775821763971e+01,-5.585684879102e+01,9.770691308209e+01
4466,23854,4367797851.562500,-2.473616251184e+02,1.060121250507e+02,-2.687685996806e+02,5.651820212723e+01,-2.653988126946e+02,5.571780393668e+01,-2.652675575102e+02,5.567948704574e+01
4467,23855,4367980957.031250,-3.533737501691e+01,1.060121250507e+02,-5.664494428968e+01,9.898081785040e+01,-5.596233425165e+01,9.771294757959e+01,-5.593799077966e+01,9.766164357319e+01
4468,23856,4368164062.500000,-2.473616251184e+02,-3.533737501691e+01,-2.404762871111e+02,-8.492940912700e+01,-2.374095446873e+02,-8.393476998779e+01,-2.372868928124e+02,-8.390177949243e+01
4469,23857,4368347167.968750,-2.473616251184e+02,1.766868750846e+02,-2.829213453397e+02,1.274275889948e+02,-2.793834362608e+02,1.257228316105e+02,-2.792477945936e+02,1.256487455725e+02
4470,23858,4368530273.437500,3.533737501691e+01,1.766868750846e+02,1.598545728206e-01,1.839457274638e+02,9.767897662932e-02,1.816157686636e+02,9.057668909890e-02,1.815244091364e+02
4471,23859,4368713378.906250,-3.533737501691e+01,-3.533737501691e+01,-2.836200485143e+01,-4.241367839981e+01,-2.798847147098e+01,-4.188509646720e+01,-2.797276295623e+01,-4.186510970020e+01
4472,23860,4368896484.375000,-1.766868750846e+02,-1.060121250507e+02,-1.559540168617e+02,-1.412239072023e+02,-1.539279578817e+02,-1.394820262458e+02,-1.538450845519e+02,-1.394178168395e+02
4473,23861,4369079589.843750,-2.473616251184e+02,-3.533737501691e+01,-2.407892959309e+02,-8.434226809071e+01,-2.377015060331e+02,-8.334909065475e+01,-2.375786429880e+02,-8.331637549216e+01
4474,23862,4369262695.312500,-1.060121250507e+02,-1.766868750846e+02,-7.127472861318e+01,-1.979020679409e+02,-7.030321735757e+01,-1.954075432905e+02,-7.026024364241e+01,-1.953119211930e+02
4475,23863,4369445800.781250,-1.766868750846e+02,3.533737501691e+01,-1.839037769258e+02,5.439788957141e-01,-1.815617829537e+02,4.769180369943e-01,-1.814704085482e+02,4.696269197703e-01
4476,23864,4369628906.250000,1.060121250507e+02,2.473616251184e+02,5.744762062062e+01,2.685436622458e+02,5.662742381502e+01,2.651388303322e+02,5.658861977656e+01,2.650075539983e+02
4477,23865,4369812011.718750,-1.060121250507e+02,-2.473616251184e+02,-5.751438082138e+01,-2.684722433168e+02,-5.669262751416e+01,-2.650649365352e+02,-5.665379119417e+01,-2.649336890530e+02
4478,23866,4369995117.187500,-1.766868750846e+02,-1.060121250507e+02,-1.560575994291e+02,-1.407813860346e+02,-1.540181004178e+02,-1.390340808447e+02,-1.539351537516e+02,-1.389700593831e+02
4479,23867,4370178222.656250,2.473616251184e+02,-1.766868750846e+02,2.822192695933e+02,-1.284226232732e+02,2.786527873804e+02,-1.266883289737e+02,2.785173989124e+02,-1.266137166782e+02
4480,23868,4370361328.125000,-1.060121250507e+02,1.060121250507e+02,-1.268522723197e+02,8.540315070122e+01,-1.252567518108e+02,8.426869341024e+01,-1.251969514751e+02,8.422139555144e+01
4481,23869,4370544433.593750,-1.766868750846e+02,-1.766868750846e+02,-1.424129598795e+02,-2.113688553088e+02,-1.405196155300e+02,-2.087078925864e+02,-1.404407489342e+02,-2.086082509300e+02
4482,23870,4370727539.062500,2.473616251184e+02,-1.060121250507e+02,2.683121572134e+02,-5.796042432434e+01,2.648911381224e+02,-5.712960174946e+01,2.647599620647e+02,-5.709054505494e+01
4483,23871,4370910644.531250,-1.766868750846e+02,1.766868750846e+02,-2.112655797149e+02,1.425616545345e+02,-2.086012755122e+02,1.406632611944e+02,-2.085016883062e+02,1.405843231556e+02
4484,23872,4371093750.000000,2.473616251184e+02,1.766868750846e+02,2.133544356420e+02,2.249575129192e+02,2.105408793724e+02,2.221382476242e+02,2.104262250679e+02,2.220345562623e+02
4485,23873,4371276855.468750,-1.766868750846e+02,2.473616251184e+02,-2.249353650888e+02,2.133326644474e+02,-2.221140258681e+02,2.105171665354e+02,-2.220103461934e+02,2.104025255021e+02
4486,23874,4371459960.937500,-3.533737501691e+01,1.766868750846e+02,-6.968827847643e+01,1.700118059807e+02,-6.884745210181e+01,1.678021376848e+02,-6.881929814104e+01,1.677149610680e+02
4487,23875,4371643066.406250,2.473616251184e+02,1.766868750846e+02,2.132891222984e+02,2.248910691962e+02,2.104699224436e+02,2.220657734124e+02,2.103553112332e+02,2.219621205891e+02
4488,23876,4371826171.875000,1.766868750846e+02,-2.473616251184e+02,2.248689211339e+02,-2.132673513439e+02,2.220417427892e+02,-2.104463912599e+02,2.219381051283e+02,-2.103317965996e+02
4489,23877,4372009277.343750,3.533737501691e+01,-2.473616251184e+02,8.338296838422e+01,-2.406939219330e+02,8.238668905973e+01,-2.375636480499e+02,8.235443057272e+01,-2.374408274334e+02
4490,23878,4372192382.812500,3.533737501691e+01,-2.473616251184e+02,8.323903191911e+01,-2.407707566682e+02,8.224388007321e+01,-2.376373627989e+02,8.221169871000e+01,-2.375145174059e+02
4491,23879,4372375488.281250,-3.533737501691e+01,-2.473616251184e+02,1.233392877344e+01,-2.544802142327e+02,1.225789610432e+01,-2.511909067025e+02,1.226147975274e+01,-2.510639635118e+02
4492,23880,4372558593.750000,3.533737501691e+01,-2.473616251184e+02,8.295096750082e+01,-2.409241686990e+02,8.195815119966e+01,-2.377847383020e+02,8.192612542708e+01,-2.376618472113e+02
4493,23881,4372741699.218750,-1.060121250507e+02,3.533737501691e+01,-1.129616662878e+02,1.507741331910e+01,-1.115064059224e+02,1.484558735626e+01,-1.114508516560e+02,1.483378387838e+01
4494,23882,4372924804.687500,-2.473616251184e+02,2.473616251184e+02,-2.950870450785e+02,2.005698811929e+02,-2.913358625353e+02,1.978791771114e+02,-2.911969073379e+02,1.977682631325e+02
4495,23883,4373107910.156250,-3.533737501691e+01,1.060121250507e+02,-5.565252972723e+01,9.947286741832e+01,-5.496479626476e+01,9.816730102440e+01,-5.494094590211e+01,9.811576068857e+01
4496,23884,4373291015.625000,-1.766868750846e+02,3.533737501691e+01,-1.837931107222e+02,1.612154296338e+00,-1.814136469208e+02,1.531194393725e+00,-1.813224153222e+02,1.523378566683e+00
4497,23885,4373474121.093750,2.473616251184e+02,-3.533737501691e+01,2.546152753250e+02,1.197924972306e+01,2.513124742427e+02,1.190727781466e+01,2.511855628060e+02,1.191104647250e+01
4498,23886,4373657226.562500,3.533737501691e+01,-1.766868750846e+02,6.930559511612e+01,-1.702514802582e+02,6.846283394262e+01,-1.680218325705e+02,6.843491665823e+01,-1.679346448076e+02
4499,23887,4373840332.031250,-3.533737501691e+01,-1.766868750846e+02,-1.454329870536e+00,-1.838202380540e+02,-1.375376495050e+00,-1.814366355427e+02,-1.367638478579e+00,-1.813454251211e+02
4500,23888,4374023437.500000,1.766868750846e+02,3.533737501691e+01,1.702363793448e+02,6.938244556694e+01,1.680047412292e+02,6.853780162685e+01,1.679175857857e+02,6.850985682969e+01
4501,23889,4374206542.968750,-2.473616251184e+02,-2.473616251184e+02,-2.005413665652e+02,-2.952116950167e+02,-1.978414857769e+02,-2.914448891849e+02,-1.977306852339e+02,-2.913060230539e+02
4502,23890,4374389648.437500,-2.473616251184e+02,3.533737501691e+01,-2.546377045194e+02,-1.168822060404e+01,-2.513268070483e+02,-1.161966141768e+01,-2.512000025134e+02,-1.162358011106e+01
4503,23891,4374572753.906250,-3.533737501691e+01,-1.766868750846e+02,-1.939859899212e+00,-1.837963639804e+02,-1.854573756381e+00,-1.814089812686e+02,-1.846596438826e+00,-1.813178686006e+02
4504,23892,4374755859.375000,1.060121250507e+02,2.473616251184e+02,5.963293266206e+01,2.679610116540e+02,5.877024123793e+01,2.644976020676e+02,5.873043469613e+01,2.643669627922e+02
4505,23893,4374938964.843750,-2.473616251184e+02,2.473616251184e+02,-2.944128439513e+02,2.015941750753e+02,-2.906506169139e+02,1.988766897080e+02,-2.905123072484e+02,1.987654794349e+02
4506,23894,4375122070.312500,1.766868750846e+02,-2.473616251184e+02,2.234490162324e+02,-2.149278132244e+02,2.206128557279e+02,-2.120591876570e+02,2.205102725675e+02,-2.119440981172e+02
4507,23895,4375305175.781250,-1.766868750846e+02,-2.473616251184e+02,-1.308693834913e+02,-2.810300082526e+02,-1.290747390013e+02,-2.774162261279e+02,-1.289991437212e+02,-2.772819196970e+02
